id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm;license
24904580;ALFAMA - Patio By the River;28621314;Maria;Lisboa;Santa Maria Maior;3.871.023;-913.174;Entire home/apt;70;3;64;02.03.2020;Jan 58;5;258;0;83309/AL
24906120;Spacious Bedroom with Balcony in Historic Area;15371029;Maria;Lisboa;Avenidas Novas;3.873.357;-915.636;Private room;29;28;11;18.08.2019;0.30;2;0;0;Exempt
24906135;Central e confortável no Príncipe Real;152077646;Dan;Lisboa;Santo Antnio;3.871.708;-915.097;Hotel room;8000;2;20;24.06.2018;0.52;1;133;0;70864/AL
24906266;Suite Garrett- Garden BBQ & parking in Sintra;15596238;Susana;Sintra;S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim;3.879.308;-938.101;Entire home/apt;83;6;3;09.08.2018;0.12;2;78;0;70571/AL
24907519;Penthouse Condominium with Private Terrace and Shared Pool;144152589;Olivier;Lisboa;Arroios;3.871.551;-913.782;Entire home/apt;177;1;120;06.07.2021;Feb 94;27;333;12;69101/AL
24912682;Badu's Jungle Family Apartment (2/3 bedroom);101517352;Johanna;Sintra;So Joo das Lampas e Terrugem;3.891.133;-941.237;Entire home/apt;121;3;27;01.07.2019;0.71;6;162;10;91628/AL
24915006;Chiado Apartment with Terrace 1;16106300;Helena;Lisboa;Santa Maria Maior;3.871.286;-914.252;Entire home/apt;55;2;59;21.07.2021;Jan 59;4;222;4;35543/AL
24916946;Historical family house in the heart of Cascais;44730216;António;Cascais;Cascais e Estoril;3.869.609;-942.359;Entire home/apt;172;6;40;08.10.2019;1.00;1;136;4;71289/AL
24917477;WarmSunsetChill1-RelaxingGuesthouse(SóniasHouses);123896369;Sónia;Lisboa;Benfica;3.874.286;-920.166;Private room;45;1;6;24.11.2019;0.22;12;1;0;114460/AL
24918100;Apartment with Terrace and River View in Alfama;187432095;Micael & Patricia;Lisboa;Santa Maria Maior;3.871.177;-913.101;Entire home/apt;119;1;173;02.03.2020;Apr 33;11;218;27;59512/AL
24918163;WarmSunsetChill2-Relaxing Guesthouse(SóniasHouses);123896369;Sónia;Lisboa;Benfica;3.874.362;-920.167;Private room;45;1;8;24.12.2019;0.26;12;0;0;114460/AL
24918354;Refurbished Apartment with Stunning View;187432095;Micael & Patricia;Lisboa;Santa Maria Maior;3.871.177;-913.101;Entire home/apt;129;1;186;05.08.2021;Apr 65;11;256;31;59511/AL
24918544;Freshly Refurbished Apartment in Alfama, Lisbon;187432095;Micael & Patricia;Lisboa;Santa Maria Maior;3.871.167;-9.131;Entire home/apt;99;1;149;28.02.2020;Mrz 75;11;248;13;59510/AL
24924840;Quinta do Pé Descalço - Sintra |Regaleira Room;188008860;Patricia;Sintra;S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim;3.881.651;-938.119;Private room;137;2;0;;;6;335;0;67486/AL
24925936;Sunny Flat in Graça with a rooftop;35488431;Gonçalo;Lisboa;So Vicente;3.872.073;-912.323;Entire home/apt;40;3;108;25.05.2019;Feb 69;1;0;9;Exempt
24926707;Unique Refurbished Apartment in Alfama, Lisbon;187432095;Micael & Patricia;Lisboa;Santa Maria Maior;3.871.251;-913.187;Entire home/apt;99;1;36;16.08.2021;0.93;11;90;5;59510/AL
24928206;Bright and Spacious Apartment Campo de Ourique;14317794;Bernardo E Ana Rita;Lisboa;Campo de Ourique;3.872.082;-916.622;Entire home/apt;120;3;33;23.02.2020;0.82;18;14;1;70983/AL
