id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm;license
26357097;Intendente BALCONY 401;198206690;Ines;Lisboa;Arroios;3.872.023;-913.748;Private room;10;1;55;06.09.2021;Jan 36;9;0;11;79978/AL
26362395;New Campervans to Rent | Campersonway;193851305;Campers;Lisboa;Misericrdia;3.871.031;-915.174;Entire home/apt;109;3;0;;;2;364;0;Exempt
26363578;Casa Natura Lovers;198254824;Familia Natura;Mafra;Ericeira;3.896.846;-941.382;Entire home/apt;90;5;27;28.11.2021;0.65;1;297;9;74554/AL
26363991;Downtown Lisbon apartment with view;40431153;João;Lisboa;Santo Antnio;3.872.278;-914.459;Entire home/apt;51;10;10;20.11.2021;0.25;1;19;2;Exempt
26364202;Lapa 34 - Superior 3 bedroom apartment;776635;Marisa;Lisboa;Estrela;3.870.839;-915.907;Entire home/apt;98;3;5;28.05.2021;0.12;4;189;1;73372/AL
26365321;ALFAMA BLUES BROTHERS APARTMENT;198269372;Artur & Diogo;Lisboa;Santa Maria Maior;38.712.891;-9.127.498;Entire home/apt;52;3;103;26.11.2021;Feb 73;1;342;27;76781/AL
26372591;Pestana Sintra Golf house;116346626;Lugano;Sintra;S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim;3.876.338;-936.656;Private room;180;1;0;;;1;363;0;Exempt
26375160;Intendente BALCONY 201;198206690;Ines;Lisboa;Arroios;3.872.023;-913.748;Private room;10;1;62;12.09.2021;Jan 54;9;0;10;79977/AL
26375698;Intendente SUITE 405;198206690;Ines;Lisboa;Arroios;3.872.023;-913.748;Private room;10;1;34;01.09.2021;0.84;9;0;5;79977/AL
26375840;Intendente TWIN 202;198206690;Ines;Lisboa;Arroios;3.872.023;-913.748;Private room;28;1;25;10.09.2021;0.62;9;0;4;79978/AL
26376072;Intendente TWIN 203;198206690;Ines;Lisboa;Arroios;3.872.105;-913.819;Private room;10;1;43;17.09.2021;01. Jun;9;0;4;79978/AL
26376251;Intendente TWIN 402;198206690;Ines;Lisboa;Arroios;3.872.023;-913.748;Private room;10;1;50;17.09.2021;Jan 25;9;0;8;79977/AL
